# Pt[#]-----	V(AC)[mV]---	Freq[Hz]----	SetCyc[#]---	R[Ohm]------	X[Ohm]------	|Z|[Ohm]----	ZPhase[d]---	G[S]--------	B[S]--------	|Y|[S]------	YPhase[d]---	CReal[F]----	CImag[F]----	|C|[F]------	CPhase[d]---	LReal[H]----	LImag[H]----	|L|[H]------	LPhase[d]---
+0.00000e+00	+9.98700e+01	+1.00000e+01	+0.00000e+00	+2.89607e+05	-8.57112e+04	+3.02024e+05	-1.64865e+01	+3.17487e-06	+9.39626e-07	+3.31100e-06	+1.64865e+01	+1.49546e-08	-5.05296e-08	+5.26961e-08	-7.35135e+01	-1.36414e+03	-4.60923e+03	+4.80686e+03	-1.06486e+02
+1.00000e+00	+9.98700e+01	+1.58000e+01	+0.00000e+00	+2.78110e+05	-8.95625e+04	+2.92176e+05	-1.78506e+01	+3.25783e-06	+1.04915e-06	+3.42259e-06	+1.78506e+01	+1.05682e-08	-3.28164e-08	+3.44761e-08	-7.21494e+01	-9.02172e+02	-2.80143e+03	+2.94312e+03	-1.07851e+02
+2.00000e+00	+9.98700e+01	+2.51000e+01	+0.00000e+00	+2.45186e+05	-9.61517e+04	+2.63366e+05	-2.14130e+01	+3.53491e-06	+1.38624e-06	+3.79700e-06	+2.14130e+01	+8.78992e-09	-2.24143e-08	+2.40762e-08	-6.85870e+01	-6.09682e+02	-1.55469e+03	+1.66996e+03	-1.11413e+02
+3.00000e+00	+9.98700e+01	+3.98000e+01	+0.00000e+00	+2.17018e+05	-9.71258e+04	+2.37761e+05	-2.41108e+01	+3.83897e-06	+1.71812e-06	+4.20591e-06	+2.41108e+01	+6.87055e-09	-1.53516e-08	+1.68189e-08	-6.58892e+01	-3.88393e+02	-8.67825e+02	+9.50773e+02	-1.14111e+02
+4.00000e+00	+9.98700e+01	+6.31000e+01	+0.00000e+00	+1.91981e+05	-8.96656e+04	+2.11888e+05	-2.50352e+01	+4.27607e-06	+1.99716e-06	+4.71947e-06	+2.50352e+01	+5.03737e-09	-1.07854e-08	+1.19038e-08	-6.49648e+01	-2.26160e+02	-4.84226e+02	+5.34438e+02	-1.15035e+02
+5.00000e+00	+9.98700e+01	+1.00000e+02	+0.00000e+00	+1.44505e+05	-1.04488e+05	+1.78324e+05	-3.58698e+01	+4.54426e-06	+3.28585e-06	+5.60778e-06	+3.58698e+01	+5.22959e-09	-7.23242e-09	+8.92505e-09	-5.41302e+01	-1.66298e+02	-2.29987e+02	+2.83811e+02	-1.25870e+02
+6.00000e+00	+9.98700e+01	+1.58500e+02	+0.00000e+00	+1.14598e+05	-9.93105e+04	+1.51642e+05	-4.09123e+01	+4.98355e-06	+4.31875e-06	+6.59450e-06	+4.09123e+01	+4.33660e-09	-5.00414e-09	+6.62175e-09	-4.90877e+01	-9.97208e+01	-1.15071e+02	+1.52268e+02	-1.30912e+02
+7.00000e+00	+9.98700e+01	+2.51200e+02	+0.00000e+00	+7.13395e+04	-8.77151e+04	+1.13063e+05	-5.08782e+01	+5.58070e-06	+6.86171e-06	+8.84462e-06	+5.08782e+01	+4.34743e-09	-3.53581e-09	+5.60376e-09	-3.91218e+01	-5.55744e+01	-4.51992e+01	+7.16344e+01	-1.40878e+02
+8.00000e+00	+9.98700e+01	+3.98100e+02	+0.00000e+00	+4.62070e+04	-7.51539e+04	+8.82224e+04	-5.84155e+01	+5.93676e-06	+9.65592e-06	+1.13350e-05	+5.84155e+01	+3.86031e-09	-2.37344e-09	+4.53157e-09	-3.15845e+01	-3.00455e+01	-1.84729e+01	+3.52701e+01	-1.48415e+02
+9.00000e+00	+9.98700e+01	+6.31000e+02	+1.00000e+00	+3.23987e+04	-5.42213e+04	+6.31634e+04	-5.91405e+01	+8.12075e-06	+1.35906e-05	+1.58319e-05	+5.91405e+01	+3.42791e-09	-2.04827e-09	+3.99324e-09	-3.08595e+01	-1.36760e+01	-8.17181e+00	+1.59315e+01	-1.49141e+02
+1.00000e+01	+9.98700e+01	+1.00000e+03	+1.00000e+00	+1.85131e+04	-4.08466e+04	+4.48462e+04	-6.56183e+01	+9.20511e-06	+2.03098e-05	+2.22985e-05	+6.56183e+01	+3.23240e-09	-1.46504e-09	+3.54891e-09	-2.43817e+01	-6.50093e+00	-2.94645e+00	+7.13749e+00	-1.55618e+02
+1.10000e+01	+9.98700e+01	+1.58490e+03	+2.00000e+00	+1.13398e+04	-2.90154e+04	+3.11526e+04	-6.86535e+01	+1.16847e-05	+2.98979e-05	+3.21001e-05	+6.86535e+01	+3.00233e-09	-1.17337e-09	+3.22348e-09	-2.13465e+01	-2.91371e+00	-1.13873e+00	+3.12833e+00	-1.58654e+02
